source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Olhardigital.com.br'}",Tamires Ferreira,‘Vacina inversa’ pode ser a chave para tratar doenças autoimunes; entenda,"Ação do fármaco no sistema imunológico pode apagar a memória de ataque das moléculas
O post ‘Vacina inversa’ pode ser a chave para tratar doenças autoimunes; entenda  apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/13/medicina-e-saude/vacina-inversa-pode-ser-a-chave-para-tratar-doencas-autoimunes-entenda/,https://img.olhardigital.com.br/wp-content/uploads/2023/09/doenca-autoimune.jpg,2023-09-13T17:37:31Z,Um novo tipo de vacina desenvolvida por pesquisadores da Escola Pritzker de Engenharia Molecular (PME)Â pode ser o novo tratamento mais promissor contra doenÃ§as autoimunes. Com uma proposta de aÃ§Ã£… [+2774 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,Google: pesquisadores fazem descoberta histórica sobre proteínas do corpo humano,"Foram catalogadas 71 milhões de mutações e um terço delas poderia causar doenças. Apenas 4 milhões já eram conhecidas pela ciência
O post Google: pesquisadores fazem descoberta histórica sobre proteínas do corpo humano apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/19/medicina-e-saude/google-pesquisadores-fazem-descoberta-historica-sobre-proteinas-do-corpo-humano/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/09/Proteina-1.jpg,2023-09-19T19:46:08Z,"Pesquisadores doÂ Google DeepMind, empresa de inteligÃªncia artificial da Alphabet, catalogaram 71 milhÃµes de mutaÃ§Ãµes em proteÃ­nas do corpo humano. Ao classificÃ¡-las, eles descobriram que um te… [+3867 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Vitoria Lopes Gomez,Modelo matemático pode revolucionar tratamentos cardíacos,"Através do simulador, cientistas poderão entender o funcionamento das doenças cardíacas no coração e, assim, achar novas formas de tratá-las
O post Modelo matemático pode revolucionar tratamentos cardíacos apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/19/medicina-e-saude/modelo-matematico-pode-revolucionar-tratamentos-cardiacos/,https://proxy.olhardigital.com.br/wp-content/uploads/2022/10/coracao-humano.jpg,2023-09-19T07:55:00Z,Um estudo feito por pesquisadores da ItÃ¡lia mostrou que a matemÃ¡tica pode salvar vidas â e prevenir infartos. Os cientistas criaram um modelo matemÃ¡tico computacional do coraÃ§Ã£o para simular o… [+1772 chars]
"{'id': None, 'name': 'Olhardigital.com.br'}",Vitoria Lopes Gomez,Estudo mostra que vape (com ou sem nicotina) paralisa células imunológicas,"Pesquisadores testaram e comprovaram que vapor do vape afeta o sistema imunológico, aumentando o risco de doenças respiratórias
O post Estudo mostra que vape (com ou sem nicotina) paralisa células imunológicas apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/11/medicina-e-saude/estudo-mostra-que-vape-com-ou-sem-nicotina-paralisa-celulas-imunologicas/,https://img.olhardigital.com.br/wp-content/uploads/2023/09/vape-1.jpg,2023-09-11T19:11:30Z,"O vape (ou cigarro eletrÃ´nico) ganhou terreno, especialmente entre os jovens. As fabricantes conseguiram popularizar o produto dizendo atÃ© que seria um âsubstitutoâ menos nocivo para quem queri… [+2051 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Vitoria Lopes Gomez,Fiocruz: Covid-19 avança no Sudeste e Centro-Oeste,"Alguns estados do Norte e Nordeste também tiveram alta nos casos de Covid-19 e de outras doenças respiratórias
O post Fiocruz: Covid-19 avança no Sudeste e Centro-Oeste apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/20/medicina-e-saude/fiocruz-covid-19-avanca-no-sudeste-e-centro-oeste/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/07/virus-covid-19.jpg,2023-09-20T18:58:26Z,"A FundaÃ§Ã£o Oswaldo Cruz (Fiocruz) divulgou nesta quarta-feira (20) uma atualizaÃ§Ã£o do boletim InfoGripe, com dados de 10 a 16 de setembro. O novo relatÃ³rio mostra um aumento de casos de Covid-19… [+2167 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,Novo remédio imita prática de atividade física e pode reduzir peso,"O remédio ainda está sendo testado em ratos, mas apresenta potencial para para tratar doenças como obesidade, diabetes e perda muscular
O post Novo remédio imita prática de atividade física e pode reduzir peso apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/26/medicina-e-saude/novo-remedio-imita-pratica-de-atividade-fisica-e-pode-reduzir-peso/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/09/OBESIDADE-1.jpg,2023-09-26T19:35:21Z,"JÃ¡ imaginou tomar um remÃ©dio que garante os mesmos benefÃ­cios que a atividade fÃ­sica? Talvez isso nunca seja totalmente possÃ­vel, mas testes em ratos de um novo tipo de droga tÃªm se mostrado pr… [+3292 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Alisson Santos,Autoridades de saúde dos EUA sugerem antibiótico para combater DSTs,"Segundo autoridades, o medicamento deve servir como “pílula do dia seguinte” contra as doenças
O post Autoridades de saúde dos EUA sugerem antibiótico para combater DSTs apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/10/03/medicina-e-saude/autoridades-de-saude-dos-eua-sugerem-antibiotico-para-combater-dsts/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/09/Novos-antibioticos-1.jpg,2023-10-03T09:40:00Z,Autoridades de saÃºde dos Estados Unidos estÃ£o planejando apoiar o uso de antibiÃ³tico barato no combate as doenÃ§as sexualmente transmissÃ­veis (DSTs). Com os registros de contaminaÃ§Ã£o subindo em… [+1637 chars]
"{'id': None, 'name': 'Observador.pt'}",Ricardo Zorron,"Tratar a obesidade com endoscopia, sem incisões? Sim, já é possível","Nos últimos cinco anos tem existido uma verdadeira revolução nas terapias endoscópicas que possibilitam um maior acesso a tratamentos para a obesidade, uma alternativa menos invasiva e sem incisões.",https://observador.pt/opiniao/tratar-a-obesidade-com-endoscopia-sem-incisoes-sim-ja-e-possivel/,https://wm.observador.pt/wm-op/wide-circle/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A900%2Fc%3A467%3A467%3Anowe%3A9%3A3%2Fq%3A86%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2023%2F09%2F15111743%2Fwhatsapp-image-2023-09-12-at-164340.jpeg,2023-09-17T23:03:43Z,"Através de uma abordagem minimamente invasiva, as técnicas endoscópicas desempenham um papel cada vez mais relevante no tratamento da obesidade, ajudando as pessoas a perder peso e a controlar doença… [+3854 chars]"
"{'id': None, 'name': 'Sapo.pt'}",Marisa Pinto,Cão-robot com Raspberry Pi ensina espanhol a crianças surdas,"É incrível a quantidade de tecnologia que nos dias que correm ajudam significativamente em áreas como a saúde, terapias, reabilitação, aprendizagem, entre outras. Nesse sentido, vamos hoje conhecer o Robins, um cão-robot com raspberry...",https://pplware.sapo.pt/gadgets/cao-robot-com-raspberry-pi-ensina-espanhol-a-criancas-surdas/,https://pplware.sapo.pt/wp-content/uploads/2023/09/cao-robot_0.jpg,2023-09-05T13:00:03Z,"É incrível a quantidade de tecnologia que nos dias que correm ajudam significativamente em áreas como a saúde, terapias, reabilitação, aprendizagem, entre outras. Nesse sentido, vamos hoje conhecer o… [+1876 chars]"
"{'id': None, 'name': 'Www.tsf.pt'}",Lusa,"Morreu Ian Wilmut, ""pai"" da ovelha Dolly",O trabalho do especialista em embriologia foi considerado fundamental para a investigação que visa tratar doenças genéticas e degenerativas ajudando o corpo a reparar tecidos danificados.,https://www.tsf.pt/mundo/morreu-ian-wilmut-pai-da-ovelha-dolly-17006400.html,https://static.globalnoticias.pt/tsf/image.jpg?brand=TSF&type=generate&guid=d460562f-c697-4222-b4fd-8dc02af92e59&w=800&h=420&watermark=true&t=20230911191400,2023-09-11T18:14:00Z,"O cientista afastou-se do meio académico em 2012 e em 2018 tornou público que tinha a doença de Parkinson
© Naokazu Oinuma/AP (arquivo)
O biólogo britânicoIan Wilmut, ""pai"" da ovelha Dolly, o prime… [+1949 chars]"
"{'id': None, 'name': 'Observador.pt'}",Maria Raimundo,Boa nutrição é bom negócio,A personalização está a tornar-se fundamental na prevenção e gestão de doenças. Isto torna a nutrição personalizada e a medicina de precisão componentes essenciais na prevenção e gestão de doenças.,https://observador.pt/opiniao/boa-nutricao-e-bom-negocio/,https://wm.observador.pt/wm-op/wide-circle/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A900%2Fc%3A467%3A467%3Anowe%3A0%3A0%2Fq%3A86%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2020%2F07%2F27203316%2Fmr_obs_467x467_acf_cropped.jpg,2023-09-11T23:09:08Z,"A má nutrição está a desafiar quase todos os aspectos da nossa sociedade, contribuindo para problemas de saúde, desigualdades na saúde, no acesso à mesma, e nas despesas evitáveis com cuidados de saú… [+9116 chars]"
"{'id': None, 'name': 'Observador.pt'}",Inês Capucho,"DeepMind, da Google, desenvolve programa com Inteligência Artificial que prevê se mutações de ADN podem causar doenças","As previsões do programa AlphaMissense, desenvolvido pela DeepMind, sobre as chamadas mutações ""missense"" podem ajudar a acelerar a investigação e o diagnóstico de doenças raras.",https://observador.pt/2023/09/20/deepmind-da-google-desenvolve-programa-com-inteligencia-artificial-que-preve-se-mutacoes-de-adn-podem-causar-doencas/,https://wm.observador.pt/wm/obs/l/https%3A%2F%2Fbordalo.observador.pt%2Fv2%2Frs%3Afill%3A770%3A403%2Fc%3A3504%3A1973%3Anowe%3A0%3A532%2Fq%3A85%2Fplain%2Fhttps%3A%2F%2Fs3.observador.pt%2Fwp-content%2Fuploads%2F2022%2F02%2F24081421%2FGettyImages-90739363.jpg,2023-09-20T17:45:28Z,"A DeepMind, detida pela Google, utilizou a Inteligência Artificial para identificar mutações de ADN que podem causar doenças. É através do programa AlphaMissense, desenvolvido por cientistas, que a e… [+1752 chars]"
"{'id': None, 'name': 'Olhardigital.com.br'}",Alessandro Di Lorenzo,Descoberta de pesquisadores da USP pode ajudar no combate ao câncer,"Pesquisadores identificaram o mecanismo envolvido na replicação e reparo de DNA, o que pode ajudar no tratamento contra o câncer
O post Descoberta de pesquisadores da USP pode ajudar no combate ao câncer apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2023/09/21/medicina-e-saude/descoberta-de-pesquisadores-da-usp-pode-ajudar-no-combate-ao-cancer/,https://proxy.olhardigital.com.br/wp-content/uploads/2023/05/Destaque-tratamento-cancer.jpg,2023-09-21T17:55:31Z,Uma descoberta de pesquisadores do Instituto de QuÃ­mica da USP e de duas universidades da Inglaterra pode auxiliar no combate a diferentes tipos de cÃ¢ncer. Os cientistas identificaram o mecanismo e… [+4889 chars]
"{'id': None, 'name': 'Terra.com.br'}",Deutsche Welle,Por que você deve a sua vida a uns poucos humanos primitvos?,Análises genéticas apontam que quase todos os nossos ancestrais morreram em uma catástrofe ...,"https://www.terra.com.br/noticias/por-que-voce-deve-a-sua-vida-a-uns-poucos-humanos-primitvos,4f56bf2b1e4ab45dbafda310e9294f1coffppy18.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2023/09/05/1696209846-58045134354.jpg,2023-09-05T18:08:14Z,Análises genéticas apontam que quase todos os nossos ancestrais morreram em uma catástrofe natural 900 mil anos atrás. Apenas 1.280 indivíduos teriam sobrevivido. Uma parte deles está em você.Imagine… [+4310 chars]
"{'id': None, 'name': 'Googlediscovery.com'}",Renê Fraga,Mark Zuckerberg anuncia IA generativa para curar todas as doenças,"A Chan Zuckerberg Initiative (CZI), organização filantrópica fundada por Priscilla Chan e Mark Zuckerberg, anunciou um projeto inovador de inteligência",https://googlediscovery.com/2023/09/20/mark-zuckerberg-anuncia-ia-generativa-para-curar-todas-as-doencas/,https://cdn.googlediscovery.com/wp-content/uploads/chan-zuckerberg.jpg,2023-09-20T16:59:48Z,"A Chan Zuckerberg Initiative (CZI), organização filantrópica fundada por Priscilla Chan e Mark Zuckerberg, anunciou um projeto inovador de inteligência artificial generativa. 
A iniciativa consiste … [+1695 chars]"
"{'id': None, 'name': 'Abril.com.br'}",diego.valencia,"Subir escadas pode reduzir o risco de doenças cardíacas em 20%, diz estudo",Pesquisadores analisaram repositório de informações sobre saúde e estilo de vida com dados de mais de 458 mil adultos no Reino Unido,https://veja.abril.com.br/saude/subir-escadas-pode-reduzir-o-risco-de-doencas-cardiacas-em-20-diz-estudo,https://veja.abril.com.br/wp-content/uploads/2017/04/esporte-corrida-escada-20150213-018.jpg?quality=90&strip=info&w=680&h=453&crop=1,2023-10-03T17:00:59Z,"Odeia quando o elevador quebra? De fato, é um incômodo, mas subir lances de escada pode salvar sua vida, de acordo com um novo estudo da Universidade de Tulane, em Louisiana, nos Estados Unidos.
Pes… [+1324 chars]"
"{'id': None, 'name': 'Melhoresdestinos.com.br'}",Cleverson Lima,Minas Gerais! Resort all inclusive em Poços de Caldas com diárias a partir de R$ 677,"Poços de Caldas, no Sul de Minas Gerais, oferece uma das melhores estâncias hidrominerais da América Latina, com águas minerais usadas em diversas terapias, clima montanhês da Serra da Mantiqueira, excelente culinária e charmosa arquitetura da década de 30.  …",https://www.melhoresdestinos.com.br/promocao/minas-pocos-caldas-resort,https://www.melhoresdestinos.com.br/wp-content/uploads/2021/06/cassino-resort-pocos-de-caldas-capa-2021-2.jpg,2023-09-23T12:00:04Z,"Poços de Caldas, no Sul de Minas Gerais, oferece uma das melhores estâncias hidrominerais da América Latina, com águas minerais usadas em diversas terapias, clima montanhês da Serra da Mantiqueira, e… [+1409 chars]"
"{'id': None, 'name': 'Megacurioso.com.br'}",Vivian de Souza Campos,Superbactérias: como evitar a resistência aos antibióticos,"Superbactérias, ou bactérias resistentes a antibióticos, são cepas microbianas que desenvolveram a capacidade de resistir a um ou mais antibióticos. Essa resistência pode ocorrer devido a mutações genéticas aleatórias, ou pode ser adquirida devido ao uso inad…",https://www.megacurioso.com.br//ciencia/127528-superbacterias-como-evitar-a-resistencia-aos-antibioticos.htm,https://mega.ibxk.com.br/2023/10/03/03152401766265.jpg?ims=600x,2023-10-03T19:00:00Z,"Superbactérias, ou bactérias resistentes a antibióticos, são cepas microbianas que desenvolveram a capacidade de resistir a um ou mais antibióticos. Essa resistência pode ocorrer devido a mutações ge… [+3311 chars]"
"{'id': None, 'name': 'Terra.com.br'}",Portal EdiCase,Entenda por que doenças vasculares podem aumentar no calor,"Quando não cuidamos da saúde, os dias de calor torna-se um momento de alerta para o corpo, ...","https://www.terra.com.br/vida-e-estilo/saude/entenda-por-que-doencas-vasculares-podem-aumentar-no-calor,52723791eadd8bccd0bd285409f363b03cid3uve.html",https://p2.trrsf.com/image/fget/cf/1200/630/middle/images.terra.com/2023/09/22/1100783929-doencas-vasculares.jpeg,2023-09-22T22:02:23Z,"Quando não cuidamos da saúde, os dias de calor torna-se um momento de alerta para o corpo, especialmente para aqueles que sofrem com problemas cardiovasculares. Isso porque, segundo dados da Sociedad… [+3207 chars]"
"{'id': None, 'name': 'Terra.com.br'}",Reuters,Belga Biobest compra empresa brasileira de soluções agrícolas naturais Biotrop em acordo de US$570 mi,A empresa belga de biocontrole de pragas e doenças e polinização natural para produção agrícola ...,"https://www.terra.com.br/economia/dinheiro-em-acao/belga-biobest-compra-empresa-brasileira-de-solucoes-agricolas-naturais-biotrop-em-acordo-de-us570-mi,92e023c86a50c8325dbc0b2d6ca40870yybi9fsw.html",https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png,2023-09-07T18:50:26Z,"A empresa belga de biocontrole de pragas e doenças e polinização natural para produção agrícola sustentável Biobest Group fechou acordo para adquirir a brasileira do mesmo ramo Biotrop, em um movimen… [+1927 chars]"
"{'id': None, 'name': 'Catracalivre.com.br'}",Redação,"Alimento comum na cozinha do brasileiro reduz risco de câncer, diz estudo","Comer bem é necessário não só para manter o corpo funcionando corretamente, mas também para prevenir uma série de doenças. É por isso que, ás vezes, nos",https://catracalivre.com.br/saude-bem-estar/alimento-comum-na-cozinha-do-brasileiro-reduz-risco-de-cancer-diz-estudo/,"https://catracalivre.com.br/cdn-cgi/image/f=auto,q=60,w=1200,h=638,fit=cover,format=jpeg/wp-content/uploads/2023/09/istock-1635263915-1.jpg",2023-09-22T22:01:08Z,"Comer bem é necessário não só para manter o corpo funcionando corretamente, mas também para prevenir uma série de doenças.
É por isso que, ás vezes, nos deparamos com alimentos conhecidos como “supe… [+2233 chars]"
"{'id': None, 'name': 'Terra.com.br'}",Reuters,CDC dos EUA endossa vacina da Pfizer contra doença sazonal para proteger bebês,"O Centro de Controle e Prevenção de Doenças dos EUA (CDC, na sigla em inglês) endossou nesta ...","https://www.terra.com.br/noticias/mundo/cdc-dos-eua-endossa-vacina-da-pfizer-contra-doenca-sazonal-para-proteger-bebes,98c42c6c5c276e9a6307f08a293eb128a0g5s529.html",https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png,2023-09-23T00:17:36Z,"O Centro de Controle e Prevenção de Doenças dos EUA (CDC, na sigla em inglês) endossou nesta sexta-feira a vacina da Pfizer contra o vírus sincicial respiratório (VSR) para mulheres que estão no terc… [+1370 chars]"
"{'id': None, 'name': 'Abril.com.br'}",Paula Felix,A proteína capaz de manter a célula humana saudável por mais tempo,Estudo feito por pesquisadores brasileiros e australianos aponta caminhos para tratar doenças autoimunes e até câncer,https://veja.abril.com.br/saude/a-proteina-capaz-de-manter-celula-humana-saudavel-por-mais-tempo,https://veja.abril.com.br/wp-content/uploads/2023/09/Celulas-humanas-coxiella.jpg?quality=90&strip=info&w=680&h=453&crop=1,2023-09-11T14:45:31Z,Pesquisadores da Universidade de São Paulo (USP) e colaboradores da Austrália identificaram uma proteína bacteriana capaz de manter as células humanas saudáveis por mais tempo. A descoberta pode leva… [+5133 chars]
"{'id': None, 'name': 'Expresso.pt'}",Expresso,Agendas mobilizadoras canalizam €480 milhões para transformar sector da saúde em três anos,"Plano de Recuperação e de Resiliência é central no investimento que privados e Estado preveem canalizar para o desenvolvimento de terapias inovadoras, para doenças graves como o cancro, e em novas formas de combater a resistência aos antibióticos",https://expresso.pt/economia/empresas/2023-10-02-Agendas-mobilizadoras-canalizam-480-milhoes-para-transformar-sector-da-saude-em-tres-anos-17de87a9,https://images.impresa.pt/expresso/2023-06-28-laboratorio-deac6dc7/1.91x1?wm=true&outputFormat=jpeg,2023-10-02T14:56:57Z,"O Plano de Recuperação e Resiliência (PRR) irá apoiar quatro agendas mobilizadoras da saúde, que durante os próximos três anos irão captar investimentos de cerca de 180 milhões de euros do setor priv… [+2989 chars]"
"{'id': None, 'name': 'Abril.com.br'}",diego.valencia,O que a microbiota intestinal tem a ver com distúrbios neurológicos?,Revisão feita por pesquisadores da Unifesp inclui doenças como Alzheimer e Parkinson e transtornos psiquiátricos como depressão e ansiedade,https://veja.abril.com.br/saude/como-a-microbiota-influencia-disturbios-neurologicos-e-psiquiatricos,https://veja.abril.com.br/wp-content/uploads/2020/09/câncer-de-intestino.jpg?quality=90&strip=info&w=680&h=453&crop=1,2023-09-06T19:48:52Z,"Há trilhões de microrganismos, incluindo bactérias, fungos e vírus, no interior do trato gastrointestinal conjunto que leva o nome de microbiota. É quase o mesmo número de células em um corpo humano.… [+3585 chars]"
"{'id': None, 'name': 'Abril.com.br'}",Paula Felix,OMS recomenda vacinas contra malária e dengue diante de onda de mosquitos,Entidade fez alerta sobre risco das doenças principalmente para crianças; Qdenga foi aprovada para uso no Brasil em março,https://veja.abril.com.br/saude/oms-recomenda-vacinas-contra-malaria-e-dengue-diante-de-onda-de-mosquitos,https://veja.abril.com.br/wp-content/uploads/2023/06/aedes_aegypti-dengue2.webp?w=680&h=453&crop=1,2023-10-02T22:47:48Z,"Diante do aumento das doenças transmitidas por mosquitos em diferentes partes do mundo, a Organização Mundial da Saúde (OMS) divulgou nesta segunda-feira, 2, um comunicado recomendando a nova vacina … [+2768 chars]"
